"code_bss";"urn_bss";"timestamp_mesure";"niveau_eau_ngf";"longitude";"latitude";"bss_id";"altitude_station";"altitude_repere";"date_mesure";"profondeur_nappe";"date_maj"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771135200000";"100.139";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-15T06:00:00Z";"19.551";"2026-02-16"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771131600000";"100.122";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-15T05:00:00Z";"19.568";"2026-02-16"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771128000000";"100.104";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-15T04:00:00Z";"19.586";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771124400000";"100.08699999999999";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-15T03:00:00Z";"19.603";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771120800000";"100.068";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-15T02:00:00Z";"19.622";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771117200000";"100.064";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-15T01:00:00Z";"19.626";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771113600000";"100.05";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-15T00:00:00Z";"19.64";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771110000000";"100.04599999999999";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T23:00:00Z";"19.644";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771106400000";"100.03399999999999";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T22:00:00Z";"19.656";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771102800000";"100.024";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T21:00:00Z";"19.666";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771099200000";"100.017";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T20:00:00Z";"19.673";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771095600000";"100.011";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T19:00:00Z";"19.679";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771092000000";"100.008";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T18:00:00Z";"19.682";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771088400000";"100.008";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T17:00:00Z";"19.682";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771084800000";"100.00999999999999";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T16:00:00Z";"19.68";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771081200000";"100.009";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T15:00:00Z";"19.681";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771077600000";"100.003";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T14:00:00Z";"19.687";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771074000000";"100.009";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T13:00:00Z";"19.681";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771070400000";"100.00999999999999";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T12:00:00Z";"19.68";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771066800000";"100.008";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T11:00:00Z";"19.682";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771063200000";"100.007";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T10:00:00Z";"19.683";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771059600000";"100.017";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T09:00:00Z";"19.673";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771056000000";"100.024";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T08:00:00Z";"19.666";"2026-02-15"
