id;time;x;x;y;y;niveau_nappe_eau;PRELIQ_Q;T_Q;ETP_Q;Peff_All;code_bss
15200;1966-01-01;;2.35329430984471;;48.0923115443955;91.945;;;;;03287X0018/S1
15201;1966-02-01;;2.35329430984471;;48.0923115443955;93.374;;;;;03287X0018/S1
15202;1966-03-01;;2.35329430984471;;48.0923115443955;94.07714285714285;;;;;03287X0018/S1
15203;1966-04-01;;2.35329430984471;;48.0923115443955;94.5442857142857;;;;;03287X0018/S1
15204;1966-05-01;;2.35329430984471;;48.0923115443955;94.92857142857143;;;;;03287X0018/S1
15205;1966-06-01;;2.35329430984471;;48.0923115443955;95.05714285714285;;;;;03287X0018/S1
15206;1966-07-01;;2.35329430984471;;48.0923115443955;94.97;;;;;03287X0018/S1
15207;1966-08-01;;2.35329430984471;;48.0923115443955;94.786;;;;;03287X0018/S1
15208;1966-09-01;;2.35329430984471;;48.0923115443955;94.57833333333333;;;;;03287X0018/S1
15209;1966-10-01;;2.35329430984471;;48.0923115443955;94.32;;;;;03287X0018/S1
15210;1966-11-01;;2.35329430984471;;48.0923115443955;94.235;;;;;03287X0018/S1
15211;1966-12-01;;2.35329430984471;;48.0923115443955;94.92;;;;;03287X0018/S1
15212;1967-01-01;;2.35329430984471;;48.0923115443955;96.09857142857143;;;;;03287X0018/S1
15213;1967-02-01;;2.35329430984471;;48.0923115443955;96.628;;;;;03287X0018/S1
15214;1967-03-01;;2.35329430984471;;48.0923115443955;96.77142857142857;;;;;03287X0018/S1
15215;1967-04-01;;2.35329430984471;;48.0923115443955;97.128;;;;;03287X0018/S1
15216;1967-05-01;;2.35329430984471;;48.0923115443955;96.82666666666667;;;;;03287X0018/S1
15217;1967-06-01;;2.35329430984471;;48.0923115443955;96.36333333333333;;;;;03287X0018/S1
15218;1967-07-01;;2.35329430984471;;48.0923115443955;95.89166666666667;;;;;03287X0018/S1
15219;1967-08-01;;2.35329430984471;;48.0923115443955;95.435;;;;;03287X0018/S1
15220;1967-09-01;;2.35329430984471;;48.0923115443955;95.03500000000001;;;;;03287X0018/S1
15221;1967-10-01;;2.35329430984471;;48.0923115443955;94.55;;;;;03287X0018/S1
15222;1967-11-01;;2.35329430984471;;48.0923115443955;94.23666666666668;;;;;03287X0018/S1
15223;1967-12-01;;2.35329430984471;;48.0923115443955;94.032;;;;;03287X0018/S1
15224;1968-01-01;;2.35329430984471;;48.0923115443955;94.04142857142857;;;;;03287X0018/S1
15225;1968-02-01;;2.35329430984471;;48.0923115443955;94.72571428571428;;;;;03287X0018/S1
15226;1968-03-01;;2.35329430984471;;48.0923115443955;95.5975;;;;;03287X0018/S1
15227;1968-04-01;;2.35329430984471;;48.0923115443955;95.95333333333333;;;;;03287X0018/S1
15228;1968-05-01;;2.35329430984471;;48.0923115443955;95.915;;;;;03287X0018/S1
15229;1968-06-01;;2.35329430984471;;48.0923115443955;95.60333333333334;;;;;03287X0018/S1
15230;1968-07-01;;2.35329430984471;;48.0923115443955;95.31428571428572;;;;;03287X0018/S1
15231;1968-08-01;;2.35329430984471;;48.0923115443955;94.92714285714285;;;;;03287X0018/S1
15232;1968-09-01;;2.35329430984471;;48.0923115443955;94.546;;;;;03287X0018/S1
15233;1968-10-01;;2.35329430984471;;48.0923115443955;94.22500000000001;;;;;03287X0018/S1
15234;1968-11-01;;2.35329430984471;;48.0923115443955;93.875;;;;;03287X0018/S1
15235;1968-12-01;;2.35329430984471;;48.0923115443955;93.63333333333333;;;;;03287X0018/S1
